nameEN,nameTR,category,equipment,rxWeightMale,rxWeightFemale,supportsWeight,supportsReps,supportsTime,supportsDistance,wodSuitability,instructions,scalingNotes
Split Jerk,Split Jerk,Olympic,Barbell,70kg,48kg,true,true,false,false,6,"Split catch position","Push jerk or lighter"
Pistol Squats,Pistol Squat,Gymnastics,None,,,false,true,false,false,6,"Single leg full depth","Assisted or box pistols"
Turkish Get-ups,Turkish Get-up,Functional,Kettlebell,16kg,12kg,true,true,false,false,7,"Slow controlled movement","Lighter weight or no weight"
Farmers Carry,Farmers Carry,Functional,Dumbbells,24kg,16kg,true,false,true,true,8,"Upright posture","Lighter weight or shorter distance"
Sled Push,Sled Push,Functional,Sled,45kg,25kg,true,false,true,true,8,"Low body position","Lighter weight or shorter distance"
GHD Sit-ups,GHD Sit-up,Gymnastics,GHD Machine,,,false,true,false,false,9,"Full range of motion","AbMat sit-ups or reduce reps"
AbMat Sit-ups,AbMat Sit-up,Bodyweight,AbMat,,,false,true,false,false,10,"Shoulders touch ground","Partial range or crunches"
V-ups,V-up,Bodyweight,None,,,false,true,false,false,9,"Touch toes","Bent knee or partial range"
Plank,Plank,Bodyweight,None,,,false,false,true,false,8,"Straight body position","Knee plank or shorter time"
Lunges,Lunge,Bodyweight,None,,,false,true,false,false,9,"Knee almost touches ground","Reverse lunges or shallow depth"
Walking Lunges,Walking Lunge,Bodyweight,None,,,false,true,false,true,9,"Continuous movement","In place lunges or shorter"
Dumbbell Snatches,Dumbbell Snatch,Functional,Dumbbell,16kg,12kg,true,true,false,false,8,"Floor to overhead","Lighter weight or hang snatch"
Man Makers,Man Maker,Functional,Dumbbells,12kg,8kg,true,true,false,false,8,"Burpee to snatch","Lighter weight or step ups"
Devils Press,Devils Press,Functional,Dumbbells,15kg,10kg,true,true,false,false,9,"Burpee to devil press","Lighter weight or man makers"
Chest to Bar Pull-ups,Chest to Bar Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,8,"Chest touches bar","Regular pull-ups or assistance"
Butterfly Pull-ups,Butterfly Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,7,"Continuous rhythm","Kipping pull-ups or assistance"
Kipping Pull-ups,Kipping Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,9,"Hip drive rhythm","Jumping pull-ups or assistance"
Strict Pull-ups,Strict Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,8,"No momentum","Negatives or assistance"
Bar Muscle-ups,Bar Muscle-up,Gymnastics,Pull-up Bar,,,false,true,false,false,6,"Transition over bar","Chest to bar or assistance"
Handstand Walks,Handstand Walk,Gymnastics,Wall,,,false,false,true,true,7,"Walk on hands","Wall facing handstand hold"
L-sits,L-sit,Gymnastics,Parallettes,,,false,false,true,false,8,"Hold L position","Bent knee or tuck hold"
Kipping HSPU,Kipping Handstand Push-up,Gymnastics,Wall,,,false,true,false,false,7,"Kipping handstand push-up","Pike push-ups or box HSPU"
Archer Pull-ups,Archer Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,6,"Single arm emphasis","Assisted archer or regular pull-ups"
Weighted Pull-ups,Weighted Pull-up,Gymnastics,Pull-up Bar,BW+10kg,BW+5kg,true,true,false,false,7,"Added weight pull-ups","Bodyweight pull-ups"
Pistol Squats,Pistol Squat,Gymnastics,None,,,false,true,false,false,6,"Single leg squat","Assisted pistols or box pistols"
Static Handstand,Static Handstand,Gymnastics,Wall,,,false,false,true,false,8,"Freestanding handstand","Wall handstand hold"
Hang Clean,Hang Clean,Olympic,Barbell,70kg,48kg,true,true,false,false,9,"Clean from hang position","Power clean from hang"
Hang Snatch,Hang Snatch,Olympic,Barbell,52kg,35kg,true,true,false,false,8,"Snatch from hang position","Muscle snatch from hang"
Squat Clean,Squat Clean,Olympic,Barbell,75kg,52kg,true,true,false,false,8,"Clean with full squat","Power clean or lighter weight"
Squat Snatch,Squat Snatch,Olympic,Barbell,61kg,43kg,true,true,false,false,7,"Snatch with full squat","Power snatch or lighter"
Clean Complex,Clean Complex,Olympic,Barbell,61kg,43kg,true,true,false,false,7,"Clean + Front squat + Jerk","Individual movements separately"
Ski Erg,Ski Erg,Cardio,Ski Erg,,,false,false,true,true,9,"Upper body ski motion","Reduce distance or calories"
Echo Bike,Echo Bike,Cardio,Echo Bike,,,false,false,true,true,9,"Full body bike","Reduce time or calories"
Swimming,Swimming,Cardio,Pool,,,false,false,true,true,8,"Freestyle swimming","Shorter distance or treading"
Stair Climbing,Stair Climbing,Cardio,Stairs,,,false,false,true,true,7,"Continuous stair climb","Shorter duration or walking"
Atlas Stone,Atlas Stone,Functional,Atlas Stone,70kg,45kg,true,true,false,false,6,"Stone to platform","Sandbag or lighter stone"
Sandbag Carry,Sandbag Carry,Functional,Sandbag,30kg,20kg,true,false,true,true,8,"Carry sandbag","Lighter bag or shorter distance"
Yoke Walk,Yoke Walk,Functional,Yoke,100kg,60kg,true,false,true,true,7,"Walk with yoke","Lighter weight or shorter distance"
Tire Flip,Tire Flip,Functional,Tire,200kg,150kg,true,true,false,false,8,"Flip tire end over end","Smaller tire or tire slams"
Log Press,Log Press,Functional,Log,50kg,30kg,true,true,false,false,7,"Press log overhead","Barbell press or lighter log"
Knee-to-elbows,Knee-to-elbows,Gymnastics,Pull-up Bar,,,false,true,false,false,8,"Knees touch elbows","Knee raises or V-ups"
Wall Walks,Wall Walk,Gymnastics,Wall,,,false,true,false,false,7,"Walk feet up wall","Pike push-ups or handstand hold"
Ground-to-overhead,Ground-to-overhead,Olympic,Barbell,43kg,30kg,true,true,false,false,9,"Any method floor to overhead","Lighter weight or dumbbells"
Bar-facing Burpees,Bar-facing Burpee,Bodyweight,Barbell,,,false,true,false,false,9,"Burpee facing barbell","Regular burpees"
Dumbbell Split Clean,Dumbbell Split Clean,Functional,Dumbbell,15kg,10kg,true,true,false,false,7,"Split stance DB clean","Regular DB clean or lighter"
Dumbbell Box Step-overs,Dumbbell Box Step-over,Functional,Dumbbell,22kg,15kg,true,true,false,false,8,"Step over box with DBs","Lighter weight or step-ups"
Calories Row,Calories Row,Cardio,Concept2 Rower,,,false,false,true,false,10,"Row for calories","Reduce calories or time"
1 Mile Run,1 Mile Run,Cardio,None,,,false,false,true,true,10,"1 mile distance run","800m or walk intervals"
2000m Row,2000m Row,Cardio,Concept2 Rower,,,false,false,true,true,9,"2000 meter row","Reduce distance"
